continentLabel,mountainLabel,latitude,longitude
Америка,Mount Redoubt,60.485277777,-152.743055555
Америка,Tunupa volcano,-19.83,-67.64
Америка,Volcán de Fuego,14.474722222,-90.880833333
Америка,Калбуко,-41.332777777,-72.611111111
Америка,Cerro Azul,-35.653333333,-70.760833333
Америка,Mount Hudson,-45.92,-72.95
Америка,Quetena Volcano,-22.260833333,-67.415555555
Америка,Cerro Verde,13.827777777,-89.625277777
Америка,Cerro Verde,13.826411111,-89.622580555
Америка,Fourpeaked Mountain,58.77,-153.671944444
Америка,Fourpeaked Mountain,58.77,-153.671944444
Америка,Chaitén,-42.832777777,-72.645833333
Америка,Lonquimay,-38.37919,-71.58991814
Америка,Люляйляко,-24.719722222,-68.536666666
Америка,Галерас,1.216666666,-77.366666666
Америка,"Guallatiri, Chile",-18.423611111,-69.089722222
Америка,Parinacota,-18.165752777,-69.141611111
Америка,Aracar,-24.29,-67.7833
Америка,Антофаля,-25.5625,-67.880833333
Америка,Copahue,-37.852222222,-71.1675
Америка,Acamarachi,-23.295833333,-67.617222222
Америка,Acamarachi,-23.295833333,-67.617222222
Америка,Acatenango,14.500833333,-90.875833333
Америка,Arintica,-18.75,-69.05
Америка,Irruputuncu,-20.733333333,-68.566666666
Америка,Lanín,-39.637178,-71.50305748
Америка,Pomerape,-18.126275,-69.126719444
Америка,Socompa,-24.393333333,-68.256111111
Америка,Tromen,-37.142,-70.03
Америка,Cerro Solo,-27.108333333,-68.716666666
Америка,Матлалкуейтъл,19.23083333,-98.03194444
Америка,Cerro Bravo,5.089166666,-75.292222222
Америка,Hornopirén,-41.874444444,-72.431388888
Америка,Volcán Tacaná,15.1334,-92.1058
Америка,Nevado San Francisco,-26.918333333,-68.263055555
Америка,Cerro Bayo Complex,-25.416666666,-68.583333333
Америка,Volcán Tolimán,14.6125,-91.189166666
Америка,Nuevo Mundo volcano,-19.774166666,-66.478333333
Америка,Cumbal,0.955833333,-77.883333333
Америка,Sotará,2.108055555,-76.591944444
Америка,El Totumo,10.74447222,-75.24140278
Америка,Sangay volcano,-2.0025,-78.340833333
Америка,Чимборасо,-1.469166666,-78.8175
Америка,Антисана,-0.481388888,-78.140833333
Америка,Mocho-Choshuenco,-39.921889,-72.03323364
Америка,Putana,-22.557302,-67.852834
Америка,Putana,-22.557302,-67.852834
Америка,Tolhuaca,-38.315181,-71.64871216
Америка,Volcán Ecuador,-0.0333333,-91.9
Америка,Volcán Ecuador,-0.016667,-91.545833
Америка,Volcán Ecuador,0.02,-91.546
Америка,Cerro Colorado,-22.59233333,-67.92216667
Америка,Cerro del Nacimiento,-27.2783,-68.5247
Америка,Cerro del Nacimiento,-27.280555555,-68.5125
Америка,Cerro del Nacimiento,-27.1957,-68.561
Америка,El Ermitaño,-26.786944444,-68.603333333
Америка,Q5674083,-36.8667,-71.3667
Америка,Palpana,-21.546666666,-68.5225
Америка,Palpana,-21.5464,-68.5227
Америка,San Pablo,-21.883888888,-68.3425
Америка,El Escondido volcano,5.514,-75.043
Америка,Crater Jiskha Phia,-18.61528,-68.75361
Америка,Crater Jachcha Phia,-18.60472,-68.75306
Америка,Cerro Tolar,-27.359166666,-67.292777777
Америка,Volcán Tres Picos,-48.4362,-69.3584
Америка,Cono Truncado,-48.533333333,-69.433333333
